Date,Close/Last,Volume,Open,High,Low
11/18/2020,118.030,76322110,118.610,119.820,118.000
11/17/2020,119.390,74270970,119.550,120.670,118.960
11/16/2020,120.300,91183020,118.920,120.990,118.150
11/13/2020,119.260,81688590,119.440,119.670,117.870
11/12/2020,119.210,103350700,119.620,120.530,118.570
11/11/2020,119.490,112295000,117.190,119.630,116.440
11/10/2020,115.970,138023400,115.550,117.590,114.130
11/9/2020,116.320,154515300,120.500,121.990,116.050
11/6/2020,118.690,114457900,118.320,119.200,116.130
11/5/2020,119.030,126387100,117.950,119.620,116.870
11/4/2020,114.950,138235500,114.140,115.590,112.350
11/3/2020,110.440,107624400,109.660,111.490,108.730
11/2/2020,108.770,122866900,109.110,110.680,107.320
10/30/2020,108.860,190573500,111.060,111.990,107.720
10/29/2020,115.320,146129200,112.370,116.930,112.200
10/28/2020,111.200,143937800,115.050,115.430,111.100
10/27/2020,116.600,92276770,115.490,117.280,114.540
10/26/2020,115.050,111850700,114.010,116.550,112.880
10/23/2020,115.040,82572650,116.390,116.550,114.280
10/22/2020,115.750,101988000,117.450,118.040,114.590
10/21/2020,116.870,89945980,116.670,118.710,116.450
10/20/2020,117.510,124423700,116.200,118.980,115.630
10/19/2020,115.980,120639300,119.960,120.420,115.660
10/16/2020,119.020,115393800,121.280,121.550,118.810
10/15/2020,120.710,112559200,118.720,121.200,118.150
10/14/2020,121.190,151062300,121.000,123.030,119.620
10/13/2020,121.100,262330500,125.270,125.390,119.650
10/12/2020,124.400,240226800,120.060,125.180,119.280
10/9/2020,116.970,100506900,115.280,117.000,114.920
10/8/2020,114.970,83477150,116.250,116.400,114.590
10/7/2020,115.080,96848990,114.620,115.550,114.130
10/6/2020,113.160,161498200,115.700,116.120,112.250
10/5/2020,116.500,106243800,113.910,116.650,113.550
10/2/2020,113.020,144712000,112.890,115.370,112.220
10/1/2020,116.790,116120400,117.640,117.720,115.830
9/30/2020,115.810,142675200,113.790,117.260,113.620
9/29/2020,114.090,100060500,114.550,115.310,113.570
9/28/2020,114.960,137672400,115.010,115.320,112.780
9/25/2020,112.280,149981400,108.430,112.440,107.670
9/24/2020,108.220,167743300,105.170,110.250,105.000
9/23/2020,107.120,150718700,111.620,112.110,106.770
9/22/2020,111.810,183055400,112.680,112.860,109.160
9/21/2020,110.080,195713800,104.540,110.190,103.100
9/18/2020,106.840,287104900,110.400,110.880,106.090
9/17/2020,110.340,178011000,109.720,112.200,108.710
9/16/2020,112.130,155026700,115.230,116.000,112.040
9/15/2020,115.540,184642000,118.330,118.830,113.610
9/14/2020,115.360,140150100,114.720,115.930,112.800
9/11/2020,112.000,180860300,114.570,115.230,110.000
9/10/2020,113.490,182274400,120.360,120.500,112.500
9/9/2020,117.320,176940500,117.260,119.140,115.260
9/8/2020,112.820,231366600,113.950,118.990,112.680
9/4/2020,120.960,332607200,120.070,123.700,110.890
9/3/2020,120.880,257599600,126.910,128.840,120.500
9/2/2020,131.400,200119000,137.590,137.980,127.000
9/1/2020,134.180,152470100,132.760,134.800,130.530
8/31/2020,129.040,225702700,127.580,131.000,126.000
8/28/2020,124.810,187629920,126.010,126.440,124.580
8/27/2020,125.010,155552400,127.140,127.490,123.830
8/26/2020,126.520,163022280,126.180,126.990,125.080
8/25/2020,124.830,211495800,124.700,125.180,123.050
8/24/2020,125.860,345937760,128.700,128.790,123.940
8/21/2020,124.370,338054640,119.260,124.870,119.250
8/20/2020,118.280,126907200,115.750,118.390,115.730
8/19/2020,115.710,145538000,115.980,117.160,115.610
8/18/2020,115.560,105633560,114.350,116.000,114.010
8/17/2020,114.610,119561440,116.060,116.090,113.960
8/14/2020,114.910,165565200,114.830,115.000,113.050
8/13/2020,115.010,210082080,114.430,116.040,113.930
8/12/2020,113.010,165944840,110.500,113.280,110.300
8/11/2020,109.380,187902360,111.970,112.480,109.110
8/10/2020,112.730,212403440,112.600,113.780,110.000
8/7/2020,111.110,198045600,113.210,113.680,110.290
8/6/2020,113.900,202428920,110.410,114.410,109.800
8/5/2020,110.060,121991960,109.380,110.390,108.900
8/4/2020,109.670,172792360,109.130,110.790,108.390
8/3/2020,108.940,308151400,108.200,111.640,107.890
7/31/2020,106.260,374295480,102.880,106.420,100.830
7/30/2020,96.190,158130040,94.190,96.300,93.770
7/29/2020,95.040,90329240,93.750,95.230,93.710
7/28/2020,93.250,103625520,94.370,94.550,93.250
7/27/2020,94.810,121214200,93.710,94.910,93.480
7/24/2020,92.620,185438880,90.990,92.970,89.150
7/23/2020,92.850,197004440,97.000,97.080,92.010
7/22/2020,97.270,89001640,96.690,97.980,96.600
7/21/2020,97.000,103645840,99.170,99.250,96.740
7/20/2020,98.360,90317920,96.420,98.500,96.060
7/17/2020,96.330,92186920,96.990,97.150,95.840
7/16/2020,96.520,110577680,96.560,97.410,95.910
7/15/2020,97.730,153197920,98.990,99.250,96.490
7/14/2020,97.060,170989360,94.840,97.260,93.880
7/13/2020,95.480,191649160,97.270,99.960,95.260
7/10/2020,95.920,90257320,95.340,95.980,94.710
7/9/2020,95.680,125642600,96.260,96.320,94.670
7/8/2020,95.340,117091880,94.180,95.380,94.090
7/7/2020,93.170,112424440,93.850,94.660,93.060
7/6/2020,93.460,118655640,92.500,93.950,92.470
7/2/2020,91.030,114041480,91.960,92.620,90.910
7/1/2020,91.030,110737240,91.280,91.840,90.980
6/30/2020,91.200,140223280,90.020,91.500,90.000
6/29/2020,90.450,130646080,88.310,90.540,87.820
6/26/2020,88.410,205256840,91.100,91.330,88.260
6/25/2020,91.210,137522520,90.180,91.250,89.390
6/24/2020,90.020,192623400,91.250,92.200,89.630
6/23/2020,91.630,212155480,91.000,93.100,90.570
6/22/2020,89.720,135445280,87.840,89.870,87.790
6/19/2020,87.430,264475800,88.660,89.140,86.290
6/18/2020,87.930,96820400,87.850,88.360,87.310
6/17/2020,87.900,114406520,88.790,88.850,87.770
6/16/2020,88.020,165428720,87.870,88.300,86.180
6/15/2020,85.750,138808920,83.310,86.420,83.150
6/12/2020,84.700,200146040,86.180,86.950,83.560
6/11/2020,83.980,201662440,87.330,87.770,83.870
6/10/2020,88.210,166651760,86.980,88.690,86.520
6/9/2020,86.000,147712360,83.040,86.400,83.000
6/8/2020,83.370,95654520,82.560,83.400,81.830
6/5/2020,82.880,137250200,80.840,82.940,80.810
6/4/2020,80.580,87560360,81.100,81.410,80.200
6/3/2020,81.280,104491200,81.170,81.550,80.580
6/2/2020,80.840,87642800,80.190,80.860,79.730
6/1/2020,80.460,81018600,79.440,80.590,79.300
5/29/2020,79.490,153598120,79.810,80.290,79.120
5/28/2020,79.560,133796400,79.190,80.860,78.910
5/27/2020,79.530,112945080,79.040,79.680,78.270
5/26/2020,79.180,125521800,80.880,81.060,79.130
5/22/2020,79.720,81803000,78.940,79.810,78.840
5/21/2020,79.210,102688840,79.670,80.220,78.970
5/20/2020,79.810,111504880,79.170,79.880,79.050
5/19/2020,78.290,101729560,78.760,79.630,78.250
